PC(     x, 49795) ALU(    x,    x) [0,1], probe(0xxx)
PC(     0, 49795) ALU(    x,    x) [1,1], probe(0000)
PC(     0, 49795) ALU(    x,    x) [0,0], probe(0000)
PC(     2, 49795) ALU(    0,    x) [1,0], probe(0000)
PC(     2, 49795) ALU(    0,    x) [0,0], probe(0000)
PC(     2, 49795) ALU(    3,    0) [1,0], probe(0000)
PC(     2, 49795) ALU(    3,    0) [0,0], probe(0000)
PC(     2, 49795) ALU(    0,    3) [1,0], probe(0000)
PC(     2, 49795) ALU(    0,    3) [0,0], probe(0000)
PC(     2, 49795) ALU(    0,    0) [1,0], probe(0000)
PC(     2, 49795) ALU(    0,    0) [0,0], probe(0000)
PC(     4, 49795) ALU(    3,    0) [1,0], probe(0000)
PC(     4, 63233) ALU(    3,    0) [0,0], probe(0000)
PC(     4, 63233) ALU(    3,    3) [1,0], probe(0000)
PC(     4, 63233) ALU(    3,    3) [0,0], probe(0000)
PC(     4, 63233) ALU(    3,    3) [1,0], probe(0000)
PC(     4, 63233) ALU(    3,    3) [0,0], probe(0000)
PC(     4, 63233) ALU(    3,    3) [1,0], probe(0000)
PC(     4, 63233) ALU(    3,    3) [0,0], probe(0000)
PC(     6, 63233) ALU(    3,    3) [1,0], probe(0100)
PC(     6, 63233) ALU(    3,    3) [0,0], probe(0100)
PC(     6, 63233) ALU(    1,    3) [1,0], probe(0000)
PC(     6, 55303) ALU(    1,    3) [0,0], probe(0000)
PC(     6, 55303) ALU(    3,    1) [1,0], probe(0000)
PC(     6, 55303) ALU(    3,    1) [0,0], probe(0000)
PC(     6, 55303) ALU(    0,    3) [1,0], probe(0000)
PC(     6, 55303) ALU(    0,    3) [0,0], probe(0000)
PC(     8, 55303) ALU(    1,    0) [1,0], probe(0000)
PC(     8, 55303) ALU(    1,    0) [0,0], probe(0000)
PC(     8, 55303) ALU(    8,    1) [1,0], probe(0000)
PC(     8, 55303) ALU(    8,    1) [0,0], probe(0000)
PC(     8, 55303) ALU(    1,    8) [1,0], probe(0000)
PC(     8, 55303) ALU(    1,    8) [0,0], probe(0000)
PC(     8, 55303) ALU(    1,    1) [1,0], probe(0000)
PC(     8, 55303) ALU(    1,    1) [0,0], probe(0000)
PC(    10, 55303) ALU(    1,    1) [1,0], probe(0000)
PC(    10, 55303) ALU(    1,    1) [0,0], probe(0000)
